activate/reactivate        /ˈæktɪveɪt/         激活/重新激活,使恢复活动 v
failed for 3 consecutive weeks      /kənˈsekjətɪv/      连续三周失败/连续的,不间断的 adj
provision/provisioning/deploy      /prəˈvɪʒ(ə)n/              部署,配置,提供,供应 v/配置 n
erase/erased/wipe out       /ɪˈreɪs/ /waɪp aʊt/          抹去,清除 v/清空,删除
periodically/regular/regularly        /ˌpɪriˈɑːdɪkli/         定期地,周期性地/定期地,有规律地 adj/adv
execution/executive/executable        /ɪɡˈzekjətɪv/       落地执行,推进实施 n/执行的 adj/可执行的 adj/可执行程序 n
definite/definitely/definition/explicitly/clearly          /ˈdefɪnət/      清晰的,肯定地,明确地 adj/adv
purge/removal/clear       /pɜːdʒ/ /rɪˈmuːv(ə)l/           清除 v/移走,去掉,消除,清除 n
explicitly/clearly/definitely      /ɪkˈsplɪsɪtli/          清楚明确地 adv/清楚地,清晰地 adv
drastically         /ˈdræstɪkli/        猛烈地,激烈地,大幅度地 adv
enumerate/enumeration/list       /ɪˈnuːməreɪt/       遍历,枚举,列举/列出,罗列 v/清单 n
Privilege       /ˈprɪvəlɪdʒ/        特权,权限 n
Guard/guardrail   /ˈɡɑːdreɪl/       防护 n/管控规则,约束条款,护栏,栏杆 n
paste (in/into/here)       /peɪst/ /peɪst ɪn/         粘贴 v/粘贴进去
(In) reality/Actually         /riˈæləti/      真实,现实 n/实际上,事实上
(retry) mechanism/machine       /ˈmekənɪzəm/        机制,机械结构,运行机制 n/机器,机械设备/重试机制
sophisticated           /səˈfɪstɪkeɪtɪd/               成熟完善的,复杂高级的 adj
decent      /ˈdiːsnt/      像样的 adj
FOSS    /fɑːs/      Free and Open Source Software 开源免费软件
awkward/embarrass/embarrassing     /ˈɔːkwərd/       令人尴尬的,使人难堪的 adj/使尴尬,使难堪 v/使人尴尬的 adj
complexity/complex/complicated      /kəmˈpleksəti/          复杂性 n/中性/略带负面色彩
shuffle         /ˈʃʌf(ə)l/          洗牌,数据重分区 v/n
differ          /ˈdɪfər/            不同于 v
persist/persistent/Materialize      /pəˈsɪst/          持久化存储,持续,坚持 v/持久化的 adj
material/Materialize(persist)     /məˈtɪriəlaɪz/      材料 n/物质的,非精神上的 adj/物化,落地持久化 v
lineage         /ˈlɪniɪdʒ/          血缘,依赖链 n
Catalyst        /ˈkætəlɪst/         优化器,催化剂
big/large/huge/giant       /ˈdʒaɪənt/          巨大的,伟大的 adj
compute/computation/Calculate/calculation         /kəmˈpjuːt/         运算,测算 v/计算,核算 v
truncate        /ˈtrʌŋkeɪt/        截断,截短 v
Prematurely/in advance         /ˌpriːməˈtʃʊrli/        过早地 adv/提前地 adv
reuse/reusable        /riːˈjuːzəb(ə)l/       再次使用,重复使用 v/可重复使用的,可以再度使用的 adj
almost/nearly/hardly/barely     /ˈberli/    几乎 adv/几乎不 adv
thread/email chain      /θred/          邮件会话,邮件串联对话 n/邮件往来记录,邮件链 n
merely/simply/just/exclusively/solely      /ˈmɪrli/ /ˈsəʊlli/        仅仅,只 adv/仅仅/只,仅仅,排他地,独有地 adv/单独地,仅有地,仅仅,唯独 adv
(three-stages/phase) evolution       /ˌevəˈluːʃ(ə)n/           进化,演进,迭代发展 n
manifest/configuration file        /ˈmænɪfest/         清单,配置文件 n
